"E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	2016	2016-11-29	2"
"E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	2016	2016-11-29	47"
"E3201Q	[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE	2016	2016-11-29	1"
"E3901N	[E3901N] SERVIZIO SOCIALE	2016	2016-11-29	5"
"F7501Q	[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO	2016	2016-11-29	2"
"H4101D	[H4101D] MEDICINA E CHIRURGIA	2016	2016-11-29	1"
"581	[581] GIURISPRUDENZA	2016	2016-11-30	138"
"E1401A	[E1401A] SCIENZE DEI SERVIZI GIURIDICI	2016	2016-11-30	54"
"E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	2016	2016-11-30	72"
"E1601N	[E1601N] SCIENZE DELL'ORGANIZZAZIONE	2016	2016-11-30	73"
"E1801M	[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI	2016	2016-11-30	5"
"E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	2016	2016-11-30	62"
"E3201Q	[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE	2016	2016-11-30	1"
"E3901N	[E3901N] SERVIZIO SOCIALE	2016	2016-11-30	62"
"F6302N	[F6302N] MANAGEMENT E DESIGN DEI SERVIZI	2016	2016-11-30	6"
"F8701N	[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI	2016	2016-11-30	1"
"581	[581] GIURISPRUDENZA	2016	2016-12-01	178"
"E1401A	[E1401A] SCIENZE DEI SERVIZI GIURIDICI	2016	2016-12-01	1"
"F6302N	[F6302N] MANAGEMENT E DESIGN DEI SERVIZI	2016	2016-12-01	1"
"F8701N	[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI	2016	2016-12-01	6"
"581	[581] GIURISPRUDENZA	2016	2016-12-02	1"
"E1401A	[E1401A] SCIENZE DEI SERVIZI GIURIDICI	2016	2016-12-02	21"
"E3201Q	[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE	2016	2016-12-02	7"
"F4901N	[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE	2016	2016-12-02	31"
"E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	2016	2016-12-05	147"
"E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	2016	2016-12-05	32"
"E3401Q	[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE	2016	2016-12-05	1"
"F8801N	[F8801N] SOCIOLOGIA	2016	2016-12-05	13"
"I0101D	[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)	2016	2016-12-05	1"
"581	[581] GIURISPRUDENZA	2016	2016-12-06	1"
"E1401A	[E1401A] SCIENZE DEI SERVIZI GIURIDICI	2016	2016-12-06	1"
"E1601N	[E1601N] SCIENZE DELL'ORGANIZZAZIONE	2016	2016-12-06	1"
"F5101P	[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA	2016	2016-12-06	22"
"F5101P	[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA	2016	2016-12-09	52"
"F5103P	[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI	2016	2016-12-09	1"
"E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	2016	2016-12-12	78"
"E1801M	[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI	2016	2016-12-12	6"
"E3301M	[E3301M] ECONOMIA E COMMERCIO	2016	2016-12-12	1"
"E3901N	[E3901N] SERVIZIO SOCIALE	2016	2016-12-12	34"
"F0601Q	[F0601Q] BIOLOGIA	2016	2016-12-12	3"
"F4901N	[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE	2016	2016-12-12	7"
"H4601D	[H4601D] ODONTOIATRIA E PROTESI DENTARIA	2016	2016-12-12	20"
"I0101D	[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)	2016	2016-12-12	1"
"E0201Q	[E0201Q] BIOTECNOLOGIE	2016	2016-12-13	47"
"E1301Q	[E1301Q] SCIENZE BIOLOGICHE	2016	2016-12-13	10"
"E2004P	[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE	2016	2016-12-13	6"
"E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	2016	2016-12-13	55"
"E3002Q	[E3002Q] OTTICA E OPTOMETRIA	2016	2016-12-13	3"
"E4001N	[E4001N] SOCIOLOGIA	2016	2016-12-13	102"
"F0601Q	[F0601Q] BIOLOGIA	2016	2016-12-13	1"
"F0901D	[F0901D] BIOTECNOLOGIE MEDICHE	2016	2016-12-13	10"
"F6302N	[F6302N] MANAGEMENT E DESIGN DEI SERVIZI	2016	2016-12-13	1"
"F8801N	[F8801N] SOCIOLOGIA	2016	2016-12-13	1"
"E0201Q	[E0201Q] BIOTECNOLOGIE	2016	2016-12-14	1"
"E1301Q	[E1301Q] SCIENZE BIOLOGICHE	2016	2016-12-14	4"
"E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	2016	2016-12-14	1"
"E1601N	[E1601N] SCIENZE DELL'ORGANIZZAZIONE	2016	2016-12-14	314"
"E3901N	[E3901N] SERVIZIO SOCIALE	2016	2016-12-14	1"
"F0901D	[F0901D] BIOTECNOLOGIE MEDICHE	2016	2016-12-14	17"
"F4901N	[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE	2016	2016-12-14	6"
"H4601D	[H4601D] ODONTOIATRIA E PROTESI DENTARIA	2016	2016-12-14	11"
"I0101D	[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)	2016	2016-12-14	1"
"E0201Q	[E0201Q] BIOTECNOLOGIE	2016	2016-12-15	1"
"E1301Q	[E1301Q] SCIENZE BIOLOGICHE	2016	2016-12-15	1"
"E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	2016	2016-12-15	107"
"E1601N	[E1601N] SCIENZE DELL'ORGANIZZAZIONE	2016	2016-12-15	1"
"E3901N	[E3901N] SERVIZIO SOCIALE	2016	2016-12-15	35"
"F0601Q	[F0601Q] BIOLOGIA	2016	2016-12-15	2"
"F5101P	[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA	2016	2016-12-15	42"
"F6302N	[F6302N] MANAGEMENT E DESIGN DEI SERVIZI	2016	2016-12-15	1"
"F8801N	[F8801N] SOCIOLOGIA	2016	2016-12-15	4"
"E1601N	[E1601N] SCIENZE DELL'ORGANIZZAZIONE	2016	2016-12-16	25"
"E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	2016	2016-12-16	97"
"E3901N	[E3901N] SERVIZIO SOCIALE	2016	2016-12-16	59"
"E4001N	[E4001N] SOCIOLOGIA	2016	2016-12-16	1"
"F0601Q	[F0601Q] BIOLOGIA	2016	2016-12-16	4"
"F4901N	[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE	2016	2016-12-16	10"
"F5801Q	[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO	2016	2016-12-16	1"
"F8801N	[F8801N] SOCIOLOGIA	2016	2016-12-16	3"
"H4101D	[H4101D] MEDICINA E CHIRURGIA	2016	2016-12-16	112"
"H4601D	[H4601D] ODONTOIATRIA E PROTESI DENTARIA	2016	2016-12-16	22"
"I0101D	[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)	2016	2016-12-16	166"
"F5101P	[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA	2016	2016-12-17	56"
"F8801N	[F8801N] SOCIOLOGIA	2016	2016-12-18	2"
"E0201Q	[E0201Q] BIOTECNOLOGIE	2016	2016-12-19	3"
"E1301Q	[E1301Q] SCIENZE BIOLOGICHE	2016	2016-12-19	1"
"E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	2016	2016-12-19	135"
"E1601N	[E1601N] SCIENZE DELL'ORGANIZZAZIONE	2016	2016-12-19	48"
